date,state,total_cases,total_deaths
"2020-03-05 00:00:00",CO,1,0
"2020-03-06 00:00:00",CO,2,0
"2020-03-07 00:00:00",CO,8,0
"2020-03-08 00:00:00",CO,8,0
"2020-03-09 00:00:00",CO,12,0
"2020-03-10 00:00:00",CO,17,0
"2020-03-11 00:00:00",CO,34,0
"2020-03-12 00:00:00",CO,49,0
"2020-03-13 00:00:00",CO,49,0
"2020-03-14 00:00:00",CO,49,0
"2020-03-15 00:00:00",CO,144,1
"2020-03-16 00:00:00",CO,160,1
"2020-03-17 00:00:00",CO,183,2
"2020-03-18 00:00:00",CO,216,2
"2020-03-19 00:00:00",CO,277,2
"2020-03-20 00:00:00",CO,363,4
"2020-03-21 00:00:00",CO,475,5
"2020-03-22 00:00:00",CO,591,6
"2020-03-23 00:00:00",CO,720,7
"2020-03-24 00:00:00",CO,921,11
"2020-03-25 00:00:00",CO,1086,19
"2020-03-26 00:00:00",CO,1430,24
"2020-03-27 00:00:00",CO,1734,31
"2020-03-28 00:00:00",CO,2061,44
"2020-03-29 00:00:00",CO,2307,47
"2020-03-30 00:00:00",CO,2627,51
"2020-03-31 00:00:00",CO,2966,69
"2020-04-01 00:00:00",CO,3342,80
"2020-04-02 00:00:00",CO,3728,97
"2020-04-03 00:00:00",CO,4173,111
"2020-04-04 00:00:00",CO,4565,126
"2020-04-05 00:00:00",CO,4950,140
"2020-04-06 00:00:00",CO,5172,150
"2020-04-07 00:00:00",CO,5429,179
"2020-04-08 00:00:00",CO,5655,193
"2020-04-09 00:00:00",CO,6202,226
"2020-04-10 00:00:00",CO,6365,250
"2020-04-11 00:00:00",CO,6893,274
"2020-04-12 00:00:00",CO,7303,290
"2020-04-13 00:00:00",CO,7691,308
"2020-04-14 00:00:00",CO,7941,329
"2020-04-15 00:00:00",CO,8280,357
"2020-04-16 00:00:00",CO,8582,373
"2020-04-17 00:00:00",CO,9047,391
"2020-04-18 00:00:00",CO,9433,411
"2020-04-19 00:00:00",CO,9634,421
"2020-04-20 00:00:00",CO,10019,448
"2020-04-21 00:00:00",CO,10368,485
"2020-04-22 00:00:00",CO,10825,507
"2020-04-23 00:00:00",CO,11182,551
"2020-04-24 00:00:00",CO,12184,672
"2020-04-25 00:00:00",CO,12868,670
"2020-04-26 00:00:00",CO,13350,679
"2020-04-27 00:00:00",CO,13798,706
"2020-04-28 00:00:00",CO,14238,736
"2020-04-29 00:00:00",CO,14675,766
"2020-04-30 00:00:00",CO,15182,777
"2020-05-01 00:00:00",CO,15668,820
"2020-05-02 00:00:00",CO,16120,832
"2020-05-03 00:00:00",CO,16534,842
"2020-05-04 00:00:00",CO,16878,851
"2020-05-05 00:00:00",CO,17317,903
"2020-05-06 00:00:00",CO,17738,921
"2020-05-07 00:00:00",CO,18318,944
"2020-05-08 00:00:00",CO,18793,960
"2020-05-09 00:00:00",CO,19316,967
"2020-05-10 00:00:00",CO,19632,971
"2020-05-11 00:00:00",CO,19735,986
"2020-05-12 00:00:00",CO,20091,1006
"2020-05-13 00:00:00",CO,20401,1059
"2020-05-14 00:00:00",CO,20762,1090
"2020-05-15 00:00:00",CO,21131,1150
"2020-05-16 00:00:00",CO,21511,1192
"2020-05-17 00:00:00",CO,21797,1215
"2020-05-18 00:00:00",CO,22095,1224
"2020-05-19 00:00:00",CO,22399,1257
"2020-05-20 00:00:00",CO,22752,1299
"2020-05-21 00:00:00",CO,23121,1309
"2020-05-22 00:00:00",CO,23455,1323
"2020-05-23 00:00:00",CO,23937,1327
"2020-05-24 00:00:00",CO,24137,1330
"2020-05-25 00:00:00",CO,24226,1331
"2020-05-26 00:00:00",CO,24503,1350
"2020-05-27 00:00:00",CO,24995,1392
"2020-05-28 00:00:00",CO,25121,1421
"2020-05-29 00:00:00",CO,25613,1436
"2020-05-30 00:00:00",CO,26098,1443
"2020-05-31 00:00:00",CO,26378,1445
"2020-06-01 00:00:00",CO,26577,1458
"2020-06-02 00:00:00",CO,26788,1474
"2020-06-03 00:00:00",CO,27060,1494
"2020-06-04 00:00:00",CO,27360,1512
"2020-06-05 00:00:00",CO,27615,1524
"2020-06-06 00:00:00",CO,27848,1527
"2020-06-07 00:00:00",CO,28001,1527
"2020-06-08 00:00:00",CO,28183,1543
"2020-06-09 00:00:00",CO,28347,1553
"2020-06-10 00:00:00",CO,28499,1573
"2020-06-11 00:00:00",CO,28647,1583
"2020-06-12 00:00:00",CO,28822,1595
"2020-06-13 00:00:00",CO,29017,1598
"2020-06-14 00:00:00",CO,29130,1599
"2020-06-15 00:00:00",CO,29299,1605
"2020-06-16 00:00:00",CO,29442,1617
"2020-06-17 00:00:00",CO,29673,1631
"2020-06-18 00:00:00",CO,29901,1638
"2020-06-19 00:00:00",CO,30187,1643
"2020-06-20 00:00:00",CO,30349,1647
"2020-06-21 00:00:00",CO,30539,1647
"2020-06-22 00:00:00",CO,30705,1651
"2020-06-23 00:00:00",CO,30893,1665
"2020-06-24 00:00:00",CO,31155,1667
"2020-06-25 00:00:00",CO,31479,1669
"2020-06-26 00:00:00",CO,31796,1673
"2020-06-27 00:00:00",CO,32022,1674
"2020-06-28 00:00:00",CO,32307,1676
"2020-06-29 00:00:00",CO,32511,1682
"2020-06-30 00:00:00",CO,32715,1690
"2020-07-01 00:00:00",CO,33029,1697
